entity_id,date,crime_head,BriefFacts,split,crime_subhead,suggested_acts,suggested_sections
3339,2023-09-08,assault,Incident of assault reported at Malleshwaram 15th Cross. The reporting officer Officer Jeet Ahuja proceeded to the spot for investigation. Complainant reported crime events by suspects. Witnesses statement recorded.,train,Voluntarily causing hurt by dangerous weapons or means,"Indian Penal Code, 1860",324
3340,2024-04-04,women_crime,Incident of women crime reported at Indiranagar 100ft Rd. The reporting officer Officer Praneel Dube proceeded to the spot for investigation. Complainant reported crime events by suspects. Witnesses statement recorded.,train,Assault or criminal force to woman with intent to outrage her modesty,"Indian Penal Code, 1860",354
3341,2026-02-08,vehicle_theft,Incident of vehicle theft reported at Whitefield ITPL Area. The reporting officer Officer Teerth Chaudry proceeded to the spot for investigation. Complainant reported crime events by suspects. Witnesses statement recorded.,test,General IPC Section,Indian Penal Code,Section 379 IPC
3342,2023-04-14,fraud,Incident of fraud reported at Malleshwaram 15th Cross. The reporting officer Officer Jeet Ahuja proceeded to the spot for investigation. Complainant reported crime events by suspects. Witnesses statement recorded.,train,Cheating and dishonestly inducing delivery of property,"Indian Penal Code, 1860",420
3343,2024-09-30,burglary,Incident of burglary reported at Jayanagar 4th Block. The reporting officer Officer Aarnav Sha proceeded to the spot for investigation. Complainant reported crime events by suspects. Witnesses statement recorded.,train,"Theft in dwelling house, etc.","Indian Penal Code, 1860",457;380
3344,2024-07-16,vehicle_theft,Incident of vehicle theft reported at Jayanagar 4th Block. The reporting officer Officer Advaith Raju proceeded to the spot for investigation. Complainant reported crime events by suspects. Witnesses statement recorded.,train,General IPC Section,Indian Penal Code,Section 379 IPC
3345,2025-02-16,chain_snatching,Incident of chain snatching reported at Jayanagar 4th Block. The reporting officer Officer Praneel Dube proceeded to the spot for investigation. Complainant reported crime events by suspects. Witnesses statement recorded.,val,Assault or criminal force in attempt to commit theft of property worn by a person,"Indian Penal Code, 1860",356;379
3346,2023-12-16,assault,Incident of assault reported at Malleshwaram 15th Cross. The reporting officer Officer Aarnav Sha proceeded to the spot for investigation. Complainant reported crime events by suspects. Witnesses statement recorded.,train,Voluntarily causing hurt by dangerous weapons or means,"Indian Penal Code, 1860",324
3347,2025-06-11,drug_offense,Incident of drug offense reported at Koramangala 5th Block. The reporting officer Officer Anay Vora proceeded to the spot for investigation. Complainant reported crime events by suspects. Witnesses statement recorded.,val,Punishment for contravention in relation to cannabis plant and cannabis,"Narcotic Drugs and Psychotropic Substances Act, 1985",20
3348,2025-05-17,rioting,Incident of rioting reported at Electronic City Phase 1. The reporting officer Officer Praneel Dube proceeded to the spot for investigation. Complainant reported crime events by suspects. Witnesses statement recorded.,val,Punishment for rioting,"Indian Penal Code, 1860",147
3349,2024-02-27,fraud,Incident of fraud reported at Yelahanka New Town. The reporting officer Officer Jeet Ahuja proceeded to the spot for investigation. Complainant reported crime events by suspects. Witnesses statement recorded.,train,Cheating and dishonestly inducing delivery of property,"Indian Penal Code, 1860",420
3350,2024-03-28,chain_snatching,Incident of chain snatching reported at HSR Layout Sector 2. The reporting officer Officer Jeet Ahuja proceeded to the spot for investigation. Complainant reported crime events by suspects. Witnesses statement recorded.,train,Assault or criminal force in attempt to commit theft of property worn by a person,"Indian Penal Code, 1860",356;379
3351,2025-11-29,cybercrime,Incident of cybercrime reported at Malleshwaram 15th Cross. The reporting officer Officer Jeet Ahuja proceeded to the spot for investigation. Complainant reported crime events by suspects. Witnesses statement recorded.,val,Punishment for cheating by personation by using computer resource,"Information Technology Act, 2000",66D
3352,2025-10-29,assault,Incident of assault reported at Malleshwaram 15th Cross. The reporting officer Officer Udarsh Raju proceeded to the spot for investigation. Complainant reported crime events by suspects. Witnesses statement recorded.,val,Voluntarily causing hurt by dangerous weapons or means,"Indian Penal Code, 1860",324
3353,2023-09-02,burglary,Incident of burglary reported at MG Road Metro Junction. The reporting officer Officer Farhan Chaudhari proceeded to the spot for investigation. Complainant reported crime events by suspects. Witnesses statement recorded.,train,"Theft in dwelling house, etc.","Indian Penal Code, 1860",457;380
3354,2025-01-12,burglary,Incident of burglary reported at Yelahanka New Town. The reporting officer Officer Praneel Dube proceeded to the spot for investigation. Complainant reported crime events by suspects. Witnesses statement recorded.,val,"Theft in dwelling house, etc.","Indian Penal Code, 1860",457;380
3355,2025-04-21,assault,Incident of assault reported at Koramangala 5th Block. The reporting officer Officer Jeet Ahuja proceeded to the spot for investigation. Complainant reported crime events by suspects. Witnesses statement recorded.,val,Voluntarily causing hurt by dangerous weapons or means,"Indian Penal Code, 1860",324
3356,2024-01-29,women_crime,Incident of women crime reported at Whitefield ITPL Area. The reporting officer Officer Jeet Ahuja proceeded to the spot for investigation. Complainant reported crime events by suspects. Witnesses statement recorded.,train,Assault or criminal force to woman with intent to outrage her modesty,"Indian Penal Code, 1860",354
3357,2024-12-12,cybercrime,Incident of cybercrime reported at Electronic City Phase 1. The reporting officer Officer Jeet Ahuja proceeded to the spot for investigation. Complainant reported crime events by suspects. Witnesses statement recorded.,train,Punishment for cheating by personation by using computer resource,"Information Technology Act, 2000",66D
3358,2024-06-19,vehicle_theft,Incident of vehicle theft reported at Hebbal Flyover Junction. The reporting officer Officer Jeet Ahuja proceeded to the spot for investigation. Complainant reported crime events by suspects. Witnesses statement recorded.,train,General IPC Section,Indian Penal Code,Section 379 IPC
3359,2024-05-23,cybercrime,Incident of cybercrime reported at MG Road Metro Junction. The reporting officer Officer Aarnav Sha proceeded to the spot for investigation. Complainant reported crime events by suspects. Witnesses statement recorded.,train,Punishment for cheating by personation by using computer resource,"Information Technology Act, 2000",66D
3360,2026-02-26,burglary,Incident of burglary reported at Hebbal Flyover Junction. The reporting officer Officer Reyansh Talwar proceeded to the spot for investigation. Complainant reported crime events by suspects. Witnesses statement recorded.,test,"Theft in dwelling house, etc.","Indian Penal Code, 1860",457;380
3361,2025-10-16,vehicle_theft,Incident of vehicle theft reported at Malleshwaram 15th Cross. The reporting officer Officer Jeet Ahuja proceeded to the spot for investigation. Complainant reported crime events by suspects. Witnesses statement recorded.,val,General IPC Section,Indian Penal Code,Section 379 IPC
3362,2024-04-23,cybercrime,Incident of cybercrime reported at Yelahanka New Town. The reporting officer Officer Anay Vora proceeded to the spot for investigation. Complainant reported crime events by suspects. Witnesses statement recorded.,train,Punishment for cheating by personation by using computer resource,"Information Technology Act, 2000",66D
3363,2024-10-01,fraud,Incident of fraud reported at Yelahanka New Town. The reporting officer Officer Jeet Ahuja proceeded to the spot for investigation. Complainant reported crime events by suspects. Witnesses statement recorded.,train,Cheating and dishonestly inducing delivery of property,"Indian Penal Code, 1860",420
3364,2024-01-26,burglary,Incident of burglary reported at Indiranagar 100ft Rd. The reporting officer Officer Advaith Raju proceeded to the spot for investigation. Complainant reported crime events by suspects. Witnesses statement recorded.,train,"Theft in dwelling house, etc.","Indian Penal Code, 1860",457;380
3365,2025-10-24,assault,Incident of assault reported at Hebbal Flyover Junction. The reporting officer Officer Advaith Raju proceeded to the spot for investigation. Complainant reported crime events by suspects. Witnesses statement recorded.,val,Voluntarily causing hurt by dangerous weapons or means,"Indian Penal Code, 1860",324
3366,2023-06-27,assault,Incident of assault reported at Jayanagar 4th Block. The reporting officer Officer Jeet Ahuja proceeded to the spot for investigation. Complainant reported crime events by suspects. Witnesses statement recorded.,train,Voluntarily causing hurt by dangerous weapons or means,"Indian Penal Code, 1860",324
3367,2024-11-06,robbery,Incident of robbery reported at Electronic City Phase 1. The reporting officer Officer Jeet Ahuja proceeded to the spot for investigation. Complainant reported crime events by suspects. Witnesses statement recorded.,train,Punishment for robbery,"Indian Penal Code, 1860",392
3368,2026-02-20,cybercrime,Incident of cybercrime reported at Jayanagar 4th Block. The reporting officer Officer Harish Pandey proceeded to the spot for investigation. Complainant reported crime events by suspects. Witnesses statement recorded.,test,Punishment for cheating by personation by using computer resource,"Information Technology Act, 2000",66D
3369,2026-03-26,vehicle_theft,Incident of vehicle theft reported at Malleshwaram 15th Cross. The reporting officer Officer Farhan Chaudhari proceeded to the spot for investigation. Complainant reported crime events by suspects. Witnesses statement recorded.,test,General IPC Section,Indian Penal Code,Section 379 IPC
3370,2023-02-01,cybercrime,Incident of cybercrime reported at HSR Layout Sector 2. The reporting officer Officer Jeet Ahuja proceeded to the spot for investigation. Complainant reported crime events by suspects. Witnesses statement recorded.,train,Punishment for cheating by personation by using computer resource,"Information Technology Act, 2000",66D
3371,2023-03-13,burglary,Incident of burglary reported at Hebbal Flyover Junction. The reporting officer Officer Harish Pandey proceeded to the spot for investigation. Complainant reported crime events by suspects. Witnesses statement recorded.,train,"Theft in dwelling house, etc.","Indian Penal Code, 1860",457;380
3372,2024-10-14,burglary,Incident of burglary reported at Whitefield ITPL Area. The reporting officer Officer Advaith Raju proceeded to the spot for investigation. Complainant reported crime events by suspects. Witnesses statement recorded.,train,"Theft in dwelling house, etc.","Indian Penal Code, 1860",457;380
3373,2025-04-08,vehicle_theft,Incident of vehicle theft reported at Malleshwaram 15th Cross. The reporting officer Officer Harish Pandey proceeded to the spot for investigation. Complainant reported crime events by suspects. Witnesses statement recorded.,val,General IPC Section,Indian Penal Code,Section 379 IPC
3374,2023-01-15,murder,Incident of murder reported at Indiranagar 100ft Rd. The reporting officer Officer Jeet Ahuja proceeded to the spot for investigation. Complainant reported crime events by suspects. Witnesses statement recorded.,train,Punishment for murder,"Indian Penal Code, 1860",302
3375,2025-05-06,fraud,Incident of fraud reported at Jayanagar 4th Block. The reporting officer Officer Advaith Raju proceeded to the spot for investigation. Complainant reported crime events by suspects. Witnesses statement recorded.,val,Cheating and dishonestly inducing delivery of property,"Indian Penal Code, 1860",420
3376,2023-01-16,assault,Incident of assault reported at Jayanagar 4th Block. The reporting officer Officer Anay Vora proceeded to the spot for investigation. Complainant reported crime events by suspects. Witnesses statement recorded.,train,Voluntarily causing hurt by dangerous weapons or means,"Indian Penal Code, 1860",324
3377,2026-02-19,assault,Incident of assault reported at Yelahanka New Town. The reporting officer Officer Aarnav Sha proceeded to the spot for investigation. Complainant reported crime events by suspects. Witnesses statement recorded.,test,Voluntarily causing hurt by dangerous weapons or means,"Indian Penal Code, 1860",324
3378,2023-09-23,burglary,Incident of burglary reported at Malleshwaram 15th Cross. The reporting officer Officer Harish Pandey proceeded to the spot for investigation. Complainant reported crime events by suspects. Witnesses statement recorded.,train,"Theft in dwelling house, etc.","Indian Penal Code, 1860",457;380
3379,2026-04-05,robbery,Incident of robbery reported at MG Road Metro Junction. The reporting officer Officer Jeet Ahuja proceeded to the spot for investigation. Complainant reported crime events by suspects. Witnesses statement recorded.,test,Punishment for robbery,"Indian Penal Code, 1860",392
3380,2025-10-17,vehicle_theft,Incident of vehicle theft reported at Hebbal Flyover Junction. The reporting officer Officer Udarsh Raju proceeded to the spot for investigation. Complainant reported crime events by suspects. Witnesses statement recorded.,val,General IPC Section,Indian Penal Code,Section 379 IPC
3381,2024-03-24,robbery,Incident of robbery reported at HSR Layout Sector 2. The reporting officer Officer Anay Vora proceeded to the spot for investigation. Complainant reported crime events by suspects. Witnesses statement recorded.,train,Punishment for robbery,"Indian Penal Code, 1860",392
3382,2024-11-22,chain_snatching,Incident of chain snatching reported at Yelahanka New Town. The reporting officer Officer Advaith Raju proceeded to the spot for investigation. Complainant reported crime events by suspects. Witnesses statement recorded.,train,Assault or criminal force in attempt to commit theft of property worn by a person,"Indian Penal Code, 1860",356;379
3383,2024-06-30,burglary,Incident of burglary reported at HSR Layout Sector 2. The reporting officer Officer Praneel Dube proceeded to the spot for investigation. Complainant reported crime events by suspects. Witnesses statement recorded.,train,"Theft in dwelling house, etc.","Indian Penal Code, 1860",457;380
3384,2025-12-17,drug_offense,Incident of drug offense reported at Jayanagar 4th Block. The reporting officer Officer Udarsh Raju proceeded to the spot for investigation. Complainant reported crime events by suspects. Witnesses statement recorded.,val,Punishment for contravention in relation to cannabis plant and cannabis,"Narcotic Drugs and Psychotropic Substances Act, 1985",20
3385,2026-04-28,cybercrime,Incident of cybercrime reported at HSR Layout Sector 2. The reporting officer Officer Jeet Ahuja proceeded to the spot for investigation. Complainant reported crime events by suspects. Witnesses statement recorded.,test,Punishment for cheating by personation by using computer resource,"Information Technology Act, 2000",66D
3386,2024-09-08,burglary,Incident of burglary reported at HSR Layout Sector 2. The reporting officer Officer Praneel Dube proceeded to the spot for investigation. Complainant reported crime events by suspects. Witnesses statement recorded.,train,"Theft in dwelling house, etc.","Indian Penal Code, 1860",457;380
3387,2025-10-31,assault,Incident of assault reported at Hebbal Flyover Junction. The reporting officer Officer Farhan Chaudhari proceeded to the spot for investigation. Complainant reported crime events by suspects. Witnesses statement recorded.,val,Voluntarily causing hurt by dangerous weapons or means,"Indian Penal Code, 1860",324
3388,2025-03-07,chain_snatching,Incident of chain snatching reported at Koramangala 5th Block. The reporting officer Officer Anay Vora proceeded to the spot for investigation. Complainant reported crime events by suspects. Witnesses statement recorded.,val,Assault or criminal force in attempt to commit theft of property worn by a person,"Indian Penal Code, 1860",356;379
3389,2026-04-17,burglary,Incident of burglary reported at Electronic City Phase 1. The reporting officer Officer Farhan Chaudhari proceeded to the spot for investigation. Complainant reported crime events by suspects. Witnesses statement recorded.,test,"Theft in dwelling house, etc.","Indian Penal Code, 1860",457;380
3390,2023-09-16,assault,Incident of assault reported at Electronic City Phase 1. The reporting officer Officer Jeet Ahuja proceeded to the spot for investigation. Complainant reported crime events by suspects. Witnesses statement recorded.,train,Voluntarily causing hurt by dangerous weapons or means,"Indian Penal Code, 1860",324
3391,2024-10-04,assault,Incident of assault reported at Yelahanka New Town. The reporting officer Officer Udarsh Raju proceeded to the spot for investigation. Complainant reported crime events by suspects. Witnesses statement recorded.,train,Voluntarily causing hurt by dangerous weapons or means,"Indian Penal Code, 1860",324
3392,2023-02-11,vehicle_theft,Incident of vehicle theft reported at Hebbal Flyover Junction. The reporting officer Officer Jeet Ahuja proceeded to the spot for investigation. Complainant reported crime events by suspects. Witnesses statement recorded.,train,General IPC Section,Indian Penal Code,Section 379 IPC
3393,2025-03-24,robbery,Incident of robbery reported at Jayanagar 4th Block. The reporting officer Officer Aarnav Sha proceeded to the spot for investigation. Complainant reported crime events by suspects. Witnesses statement recorded.,val,Punishment for robbery,"Indian Penal Code, 1860",392
3394,2025-04-19,assault,Incident of assault reported at Yelahanka New Town. The reporting officer Officer Harish Pandey proceeded to the spot for investigation. Complainant reported crime events by suspects. Witnesses statement recorded.,val,Voluntarily causing hurt by dangerous weapons or means,"Indian Penal Code, 1860",324
3395,2025-11-04,burglary,Incident of burglary reported at HSR Layout Sector 2. The reporting officer Officer Teerth Chaudry proceeded to the spot for investigation. Complainant reported crime events by suspects. Witnesses statement recorded.,val,"Theft in dwelling house, etc.","Indian Penal Code, 1860",457;380
3396,2024-11-14,assault,Incident of assault reported at Koramangala 5th Block. The reporting officer Officer Teerth Chaudry proceeded to the spot for investigation. Complainant reported crime events by suspects. Witnesses statement recorded.,train,Voluntarily causing hurt by dangerous weapons or means,"Indian Penal Code, 1860",324
3397,2023-04-23,vehicle_theft,Incident of vehicle theft reported at Malleshwaram 15th Cross. The reporting officer Officer Teerth Chaudry proceeded to the spot for investigation. Complainant reported crime events by suspects. Witnesses statement recorded.,train,General IPC Section,Indian Penal Code,Section 379 IPC
3398,2025-10-16,assault,Incident of assault reported at Yelahanka New Town. The reporting officer Officer Jeet Ahuja proceeded to the spot for investigation. Complainant reported crime events by suspects. Witnesses statement recorded.,val,Voluntarily causing hurt by dangerous weapons or means,"Indian Penal Code, 1860",324
3399,2025-06-29,burglary,Incident of burglary reported at HSR Layout Sector 2. The reporting officer Officer Anay Vora proceeded to the spot for investigation. Complainant reported crime events by suspects. Witnesses statement recorded.,val,"Theft in dwelling house, etc.","Indian Penal Code, 1860",457;380
3400,2025-09-07,women_crime,Incident of women crime reported at Whitefield ITPL Area. The reporting officer Officer Farhan Chaudhari proceeded to the spot for investigation. Complainant reported crime events by suspects. Witnesses statement recorded.,val,Assault or criminal force to woman with intent to outrage her modesty,"Indian Penal Code, 1860",354
3401,2023-12-25,assault,Incident of assault reported at Hebbal Flyover Junction. The reporting officer Officer Reyansh Talwar proceeded to the spot for investigation. Complainant reported crime events by suspects. Witnesses statement recorded.,train,Voluntarily causing hurt by dangerous weapons or means,"Indian Penal Code, 1860",324
3402,2025-02-02,cybercrime,Incident of cybercrime reported at Whitefield ITPL Area. The reporting officer Officer Praneel Dube proceeded to the spot for investigation. Complainant reported crime events by suspects. Witnesses statement recorded.,val,Punishment for cheating by personation by using computer resource,"Information Technology Act, 2000",66D
3403,2023-05-09,cybercrime,Incident of cybercrime reported at Malleshwaram 15th Cross. The reporting officer Officer Harish Pandey proceeded to the spot for investigation. Complainant reported crime events by suspects. Witnesses statement recorded.,train,Punishment for cheating by personation by using computer resource,"Information Technology Act, 2000",66D
3404,2024-04-11,murder,Incident of murder reported at Yelahanka New Town. The reporting officer Officer Advaith Raju proceeded to the spot for investigation. Complainant reported crime events by suspects. Witnesses statement recorded.,train,Punishment for murder,"Indian Penal Code, 1860",302
3405,2023-07-23,assault,Incident of assault reported at Whitefield ITPL Area. The reporting officer Officer Reyansh Talwar proceeded to the spot for investigation. Complainant reported crime events by suspects. Witnesses statement recorded.,train,Voluntarily causing hurt by dangerous weapons or means,"Indian Penal Code, 1860",324
3406,2024-01-23,assault,Incident of assault reported at Electronic City Phase 1. The reporting officer Officer Jeet Ahuja proceeded to the spot for investigation. Complainant reported crime events by suspects. Witnesses statement recorded.,train,Voluntarily causing hurt by dangerous weapons or means,"Indian Penal Code, 1860",324
3407,2025-08-15,fraud,Incident of fraud reported at Malleshwaram 15th Cross. The reporting officer Officer Anay Vora proceeded to the spot for investigation. Complainant reported crime events by suspects. Witnesses statement recorded.,val,Cheating and dishonestly inducing delivery of property,"Indian Penal Code, 1860",420
3408,2025-03-15,burglary,Incident of burglary reported at Electronic City Phase 1. The reporting officer Officer Jeet Ahuja proceeded to the spot for investigation. Complainant reported crime events by suspects. Witnesses statement recorded.,val,"Theft in dwelling house, etc.","Indian Penal Code, 1860",457;380
3409,2024-03-10,assault,Incident of assault reported at Indiranagar 100ft Rd. The reporting officer Officer Aarnav Sha proceeded to the spot for investigation. Complainant reported crime events by suspects. Witnesses statement recorded.,train,Voluntarily causing hurt by dangerous weapons or means,"Indian Penal Code, 1860",324
3410,2024-02-04,vehicle_theft,Incident of vehicle theft reported at Jayanagar 4th Block. The reporting officer Officer Reyansh Talwar proceeded to the spot for investigation. Complainant reported crime events by suspects. Witnesses statement recorded.,train,General IPC Section,Indian Penal Code,Section 379 IPC
3411,2024-11-27,assault,Incident of assault reported at Koramangala 5th Block. The reporting officer Officer Anay Vora proceeded to the spot for investigation. Complainant reported crime events by suspects. Witnesses statement recorded.,train,Voluntarily causing hurt by dangerous weapons or means,"Indian Penal Code, 1860",324
3412,2023-01-30,women_crime,Incident of women crime reported at Yelahanka New Town. The reporting officer Officer Reyansh Talwar proceeded to the spot for investigation. Complainant reported crime events by suspects. Witnesses statement recorded.,train,Assault or criminal force to woman with intent to outrage her modesty,"Indian Penal Code, 1860",354
3413,2026-04-01,cybercrime,Incident of cybercrime reported at Whitefield ITPL Area. The reporting officer Officer Aarnav Sha proceeded to the spot for investigation. Complainant reported crime events by suspects. Witnesses statement recorded.,test,Punishment for cheating by personation by using computer resource,"Information Technology Act, 2000",66D
3414,2025-08-26,burglary,Incident of burglary reported at Malleshwaram 15th Cross. The reporting officer Officer Harish Pandey proceeded to the spot for investigation. Complainant reported crime events by suspects. Witnesses statement recorded.,val,"Theft in dwelling house, etc.","Indian Penal Code, 1860",457;380
3415,2024-04-07,drug_offense,Incident of drug offense reported at Hebbal Flyover Junction. The reporting officer Officer Jeet Ahuja proceeded to the spot for investigation. Complainant reported crime events by suspects. Witnesses statement recorded.,train,Punishment for contravention in relation to cannabis plant and cannabis,"Narcotic Drugs and Psychotropic Substances Act, 1985",20
3416,2023-01-04,chain_snatching,Incident of chain snatching reported at Malleshwaram 15th Cross. The reporting officer Officer Anay Vora proceeded to the spot for investigation. Complainant reported crime events by suspects. Witnesses statement recorded.,train,Assault or criminal force in attempt to commit theft of property worn by a person,"Indian Penal Code, 1860",356;379
3417,2024-11-22,burglary,Incident of burglary reported at Whitefield ITPL Area. The reporting officer Officer Udarsh Raju proceeded to the spot for investigation. Complainant reported crime events by suspects. Witnesses statement recorded.,train,"Theft in dwelling house, etc.","Indian Penal Code, 1860",457;380
3418,2025-09-25,assault,Incident of assault reported at HSR Layout Sector 2. The reporting officer Officer Anay Vora proceeded to the spot for investigation. Complainant reported crime events by suspects. Witnesses statement recorded.,val,Voluntarily causing hurt by dangerous weapons or means,"Indian Penal Code, 1860",324
3419,2024-05-19,burglary,Incident of burglary reported at HSR Layout Sector 2. The reporting officer Officer Jeet Ahuja proceeded to the spot for investigation. Complainant reported crime events by suspects. Witnesses statement recorded.,train,"Theft in dwelling house, etc.","Indian Penal Code, 1860",457;380
3420,2024-10-10,women_crime,Incident of women crime reported at Electronic City Phase 1. The reporting officer Officer Aarnav Sha proceeded to the spot for investigation. Complainant reported crime events by suspects. Witnesses statement recorded.,train,Assault or criminal force to woman with intent to outrage her modesty,"Indian Penal Code, 1860",354
3421,2024-11-16,assault,Incident of assault reported at Electronic City Phase 1. The reporting officer Officer Harish Pandey proceeded to the spot for investigation. Complainant reported crime events by suspects. Witnesses statement recorded.,train,Voluntarily causing hurt by dangerous weapons or means,"Indian Penal Code, 1860",324
3422,2023-06-30,rioting,Incident of rioting reported at Whitefield ITPL Area. The reporting officer Officer Anay Vora proceeded to the spot for investigation. Complainant reported crime events by suspects. Witnesses statement recorded.,train,Punishment for rioting,"Indian Penal Code, 1860",147
3423,2024-12-15,robbery,Incident of robbery reported at Jayanagar 4th Block. The reporting officer Officer Farhan Chaudhari proceeded to the spot for investigation. Complainant reported crime events by suspects. Witnesses statement recorded.,train,Punishment for robbery,"Indian Penal Code, 1860",392
3424,2024-09-07,burglary,Incident of burglary reported at Yelahanka New Town. The reporting officer Officer Anay Vora proceeded to the spot for investigation. Complainant reported crime events by suspects. Witnesses statement recorded.,train,"Theft in dwelling house, etc.","Indian Penal Code, 1860",457;380
3425,2025-06-21,burglary,Incident of burglary reported at Jayanagar 4th Block. The reporting officer Officer Jeet Ahuja proceeded to the spot for investigation. Complainant reported crime events by suspects. Witnesses statement recorded.,val,"Theft in dwelling house, etc.","Indian Penal Code, 1860",457;380
3426,2024-04-05,robbery,Incident of robbery reported at Hebbal Flyover Junction. The reporting officer Officer Anay Vora proceeded to the spot for investigation. Complainant reported crime events by suspects. Witnesses statement recorded.,train,Punishment for robbery,"Indian Penal Code, 1860",392
3427,2026-03-23,fraud,Incident of fraud reported at Electronic City Phase 1. The reporting officer Officer Jeet Ahuja proceeded to the spot for investigation. Complainant reported crime events by suspects. Witnesses statement recorded.,test,Cheating and dishonestly inducing delivery of property,"Indian Penal Code, 1860",420
3428,2024-10-18,burglary,Incident of burglary reported at HSR Layout Sector 2. The reporting officer Officer Anay Vora proceeded to the spot for investigation. Complainant reported crime events by suspects. Witnesses statement recorded.,train,"Theft in dwelling house, etc.","Indian Penal Code, 1860",457;380
3429,2025-12-04,burglary,Incident of burglary reported at MG Road Metro Junction. The reporting officer Officer Advaith Raju proceeded to the spot for investigation. Complainant reported crime events by suspects. Witnesses statement recorded.,val,"Theft in dwelling house, etc.","Indian Penal Code, 1860",457;380
3430,2024-01-13,cybercrime,Incident of cybercrime reported at Koramangala 5th Block. The reporting officer Officer Harish Pandey proceeded to the spot for investigation. Complainant reported crime events by suspects. Witnesses statement recorded.,train,Punishment for cheating by personation by using computer resource,"Information Technology Act, 2000",66D
3431,2024-03-19,drug_offense,Incident of drug offense reported at Jayanagar 4th Block. The reporting officer Officer Jeet Ahuja proceeded to the spot for investigation. Complainant reported crime events by suspects. Witnesses statement recorded.,train,Punishment for contravention in relation to cannabis plant and cannabis,"Narcotic Drugs and Psychotropic Substances Act, 1985",20
3432,2023-01-30,vehicle_theft,Incident of vehicle theft reported at Electronic City Phase 1. The reporting officer Officer Harish Pandey proceeded to the spot for investigation. Complainant reported crime events by suspects. Witnesses statement recorded.,train,General IPC Section,Indian Penal Code,Section 379 IPC
3433,2023-07-09,burglary,Incident of burglary reported at Whitefield ITPL Area. The reporting officer Officer Anay Vora proceeded to the spot for investigation. Complainant reported crime events by suspects. Witnesses statement recorded.,train,"Theft in dwelling house, etc.","Indian Penal Code, 1860",457;380
3434,2026-05-12,burglary,Incident of burglary reported at HSR Layout Sector 2. The reporting officer Officer Jeet Ahuja proceeded to the spot for investigation. Complainant reported crime events by suspects. Witnesses statement recorded.,test,"Theft in dwelling house, etc.","Indian Penal Code, 1860",457;380
3435,2023-01-22,vehicle_theft,Incident of vehicle theft reported at Yelahanka New Town. The reporting officer Officer Reyansh Talwar proceeded to the spot for investigation. Complainant reported crime events by suspects. Witnesses statement recorded.,train,General IPC Section,Indian Penal Code,Section 379 IPC
3436,2023-03-24,fraud,Incident of fraud reported at Jayanagar 4th Block. The reporting officer Officer Praneel Dube proceeded to the spot for investigation. Complainant reported crime events by suspects. Witnesses statement recorded.,train,Cheating and dishonestly inducing delivery of property,"Indian Penal Code, 1860",420
3437,2024-02-26,cybercrime,Incident of cybercrime reported at Malleshwaram 15th Cross. The reporting officer Officer Teerth Chaudry proceeded to the spot for investigation. Complainant reported crime events by suspects. Witnesses statement recorded.,train,Punishment for cheating by personation by using computer resource,"Information Technology Act, 2000",66D
3438,2024-11-22,assault,Incident of assault reported at MG Road Metro Junction. The reporting officer Officer Aarnav Sha proceeded to the spot for investigation. Complainant reported crime events by suspects. Witnesses statement recorded.,train,Voluntarily causing hurt by dangerous weapons or means,"Indian Penal Code, 1860",324
3439,2023-10-10,murder,Incident of murder reported at Jayanagar 4th Block. The reporting officer Officer Anay Vora proceeded to the spot for investigation. Complainant reported crime events by suspects. Witnesses statement recorded.,train,Punishment for murder,"Indian Penal Code, 1860",302
3440,2025-12-31,fraud,Incident of fraud reported at Electronic City Phase 1. The reporting officer Officer Jeet Ahuja proceeded to the spot for investigation. Complainant reported crime events by suspects. Witnesses statement recorded.,val,Cheating and dishonestly inducing delivery of property,"Indian Penal Code, 1860",420
3441,2025-06-05,robbery,Incident of robbery reported at Koramangala 5th Block. The reporting officer Officer Farhan Chaudhari proceeded to the spot for investigation. Complainant reported crime events by suspects. Witnesses statement recorded.,val,Punishment for robbery,"Indian Penal Code, 1860",392
3442,2024-04-16,assault,Incident of assault reported at Indiranagar 100ft Rd. The reporting officer Officer Jeet Ahuja proceeded to the spot for investigation. Complainant reported crime events by suspects. Witnesses statement recorded.,train,Voluntarily causing hurt by dangerous weapons or means,"Indian Penal Code, 1860",324
3443,2025-06-20,assault,Incident of assault reported at Jayanagar 4th Block. The reporting officer Officer Praneel Dube proceeded to the spot for investigation. Complainant reported crime events by suspects. Witnesses statement recorded.,val,Voluntarily causing hurt by dangerous weapons or means,"Indian Penal Code, 1860",324
3444,2026-04-25,assault,Incident of assault reported at Electronic City Phase 1. The reporting officer Officer Anay Vora proceeded to the spot for investigation. Complainant reported crime events by suspects. Witnesses statement recorded.,test,Voluntarily causing hurt by dangerous weapons or means,"Indian Penal Code, 1860",324
3445,2025-04-29,vehicle_theft,Incident of vehicle theft reported at Koramangala 5th Block. The reporting officer Officer Aarnav Sha proceeded to the spot for investigation. Complainant reported crime events by suspects. Witnesses statement recorded.,val,General IPC Section,Indian Penal Code,Section 379 IPC
3446,2025-03-15,chain_snatching,Incident of chain snatching reported at MG Road Metro Junction. The reporting officer Officer Jeet Ahuja proceeded to the spot for investigation. Complainant reported crime events by suspects. Witnesses statement recorded.,val,Assault or criminal force in attempt to commit theft of property worn by a person,"Indian Penal Code, 1860",356;379
